N,Mean_kappa,Bias_kappa,SD_kappa,RMSE_kappa,Mean_K,Bias_K,SD_K,RMSE_K,Mean_gp,Bias_gp,SD_gp,RMSE_gp,Mean_gr,Bias_gr,SD_gr,RMSE_gr,Avg_cond_num,Med_cond_num,Avg_n_obs,Avg_maintain_sh,Avg_exit_sh,Avg_replace_sh
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
100,15.0104622645834,0.0104622645834382,0.431834574494112,0.429797333299591,5.9983930622696,-0.00160693773040332,0.126781350163565,0.126156085428618,-0.986817875062764,0.0131821249372365,0.108975812421472,0.109227921493781,0.601376462417222,0.00137646241722211,0.0164194247396057,0.0163950048026161,11970.2508738838,11926.2348617201,13875.3,0.850439751872218,0.138770277782498,0.0107899703452842
